indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
% Schools with Drinking Water,35.8,50.6,50.6,61.1,58.6,5290.19,1459.1,60.9,62.9,62.6
% Schools with Common Toilet,22.0,30.7,32.8,43.9,-,-,-,-,-,-
% Schools with Boys' Toilet,-,-,-,11.0,21.3,60.1,46.5,55.1,68.4,87.7
% Schools with Girls' Toilet,7.7,10.2,11.2,31.7,24.0,3260.19,15 45.0,50.1,60.5,85.6
% Schools with Boundarywall,18.4,17.8,19.0,17.9,18.9,17.7,17.8,18.3,19.0,17.6
% School with Playground Facility,-,-,-,36.7,36.1,3250.18,1632.5,32.3,32.8,33.1
% Schools with Ramp,2.1,5.3,8.0,12.3,16.5,19.4,61.0,68.4,69.8,78.1
% Schools havining Electricity,-,-,14.1,13.7,14.0,14.0,16.6,18.9,23.3,24.6
% Schools with Computer,1.8,6.2,7.3,7.4,7.1,7.5,7.6,8.4,9.0,9.7
% Schools Providing Mid-day Meal*,-,-,-,89.2,89.2,89.4,92.7,98.1,97.9,97.5
Number of Distr2ic.6ts Covered,7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,11.0,11.0
3.5,8128,10572.0,11467.0,11749.0,12414.0,12796.0,12878.0,13045.0,13175.0,13277.0
Total Government Schools,-,3999.0,3747.0,3682.0,7596.0,7803.0,7853.0,7757.0,7755.0,7764.0
Total Private Schools,-,6570.0,7693.0,8057.0,4781.0,4974.0,4940.0,5177.0,5284.0,5398.0
Ratio of Primary to3 .U5.PrimarySch./Sec.,3.7,3.2,3.1,2.5,2.6,2.5,2.5,2.5,2.5,2.5
Primary Sch./Sec.per 1000 Child Popln.,25,35.0,18.0,39.0,43.0,42.0,42.0,24.0,25.0,25.0
U.Prim. Sch./Sec.per 1000 Child Popln.,11,16.0,39.0,22.0,22.0,23.0,23.0,20.0,22.0,23.0
% Single-Teacher Schools with Enr.≥15,7.1,10.5,9.1,8.2,7.2,5.4,5.8,5.5,5.9,5.9
% Enrolment in Single-Teacher Schools,6.0,7.6,6.4,5.8,4.9,3.7,4.0,3.8,4.2,4.0
% Schools with E3.n0rolment ≤ 50,61.7,66.1,69.4,69.5,67.2,65.5,65.4,64.7,64.2,63.0
% Schools with 2F.e7male Teachers,77.1,80.3,81.0,81.1,81.0,80.6,80.8,100.0,80.1,80.4
